threshold,far,frr,acc,tpr,tnr,ppv,npv,f1_score
0.48,0.0,0.6275726886638353,0.6798333333333333,0.37242731133616463,1.0,1.0,0.6047325102880658,0.5427279219233515
0.3,0.0,0.3146030708918654,0.8395,0.6853969291081345,1.0,1.0,0.7532034853921066,0.8133359178135298
0.45,0.0,0.5795491669389089,0.7043333333333334,0.42045083306109116,1.0,1.0,0.623594313600679,0.591996320147194
0.21,0.0006805035726437564,0.1718392682130023,0.912,0.8281607317869977,0.9993194964273563,0.9992116673236106,0.8481085763788623,0.9056806002143623
0.41,0.0,0.5115975171512578,0.739,0.4884024828487422,1.0,1.0,0.6523862375138735,0.6562774363476734
0.38,0.0,0.46030708918654034,0.7651666666666667,0.5396929108134596,1.0,1.0,0.6759429622815087,0.7010396774877996
0.46,0.0,0.5955570075138844,0.6961666666666667,0.40444299248611565,1.0,1.0,0.6171776564468711,0.5759478948592696
0.35,0.0,0.40411630186213654,0.7938333333333333,0.5958836981378635,1.0,1.0,0.7037835249042146,0.7467758444216991
0.36,0.0,0.4211042143090493,0.7851666666666667,0.5788957856909507,1.0,1.0,0.695127719962157,0.7332919511690461
0.37,0.0,0.43907219862789937,0.776,0.5609278013721006,1.0,1.0,0.6862012607985057,0.7187107576391796
0.44,0.0,0.5632146357399542,0.7126666666666667,0.4367853642600457,1.0,1.0,0.6302809350203732,0.6080036380172806
0.42,0.0,0.5279320483502123,0.7306666666666667,0.47206795164978765,1.0,1.0,0.645225027442371,0.6413670661340435
0.5,0.0,0.6579549166938908,0.6643333333333333,0.3420450833061091,1.0,1.0,0.5933777508580658,0.5097370983446933
0.55,0.0,0.7376674289447893,0.6236666666666667,0.26233257105521074,1.0,1.0,0.5655185684048489,0.4156314699792961
0.52,0.0,0.6938908853315909,0.646,0.306109114668409,1.0,1.0,0.5804858779379815,0.4687343671835918
0.54,0.0,0.7210062071218556,0.6321666666666667,0.2789937928781444,1.0,1.0,0.5711232024873688,0.43627075351213285
0.47,0.0,0.6141783730806926,0.6866666666666666,0.38582162691930744,1.0,1.0,0.6098775679601577,0.5568128241395568
0.53,0.0,0.7066318196667756,0.6395,0.2933681803332244,1.0,1.0,0.5760486083888671,0.45364991159383683
0.56,0.0,0.7494282914080366,0.6176666666666667,0.2505717085919634,1.0,1.0,0.5616281291802026,0.4007314524555904
0.51,0.0,0.6808232603724274,0.6526666666666666,0.3191767396275727,1.0,1.0,0.585108500895879,0.4839029222387321
0.62,0.0,0.8275073505390396,0.5778333333333333,0.17249264946096046,1.0,1.0,0.5370979532163743,0.2942323767066035
0.58,0.0,0.7778503756942176,0.6031666666666666,0.22214962430578242,1.0,1.0,0.5524436090225564,0.363539160652232
0.6,0.0,0.8030055537406077,0.5903333333333334,0.19699444625939236,1.0,1.0,0.5445617935890309,0.32914847161572053
0.64,0.0,0.8464554067298269,0.5681666666666667,0.15354459327017314,1.0,1.0,0.5314647377938517,0.26621353724157465
0.61,0.0,0.8154197974518131,0.584,0.18458020254818686,1.0,1.0,0.540754369825207,0.3116381687810259
0.63,0.0,0.8386148317543286,0.5721666666666667,0.16138516824567134,1.0,1.0,0.5337813294587722,0.2779184247538678
0.59,0.0,0.7896112381574649,0.5971666666666666,0.21038876184253513,1.0,1.0,0.5487303958177745,0.34763832658569505
0.57,0.0,0.7624959163672003,0.611,0.23750408363279973,1.0,1.0,0.5573677223591883,0.38384371700105596
0.66,0.0,0.8618098660568442,0.5603333333333333,0.13819013394315582,1.0,1.0,0.5269858346781424,0.24282433983926519
0.69,0.0,0.8902319503430252,0.5458333333333333,0.10976804965697484,1.0,1.0,0.5188912429378532,0.1978216073005593
0.65,0.0,0.8529892192094087,0.5648333333333333,0.14701078079059132,1.0,1.0,0.5295495495495496,0.2563372258615779
0.7,0.0,0.896765762822607,0.5425,0.10323423717739301,1.0,1.0,0.5170654468684025,0.18714835652946402
0.72,0.0,0.911140150277687,0.5351666666666667,0.08885984972231296,1.0,1.0,0.5130935754189944,0.1632163216321632
0.67,0.0,0.8725906566481542,0.5548333333333333,0.1274093433518458,1.0,1.0,0.5238859180035651,0.22602144305998265
0.68,0.0,0.882718065991506,0.5496666666666666,0.11728193400849396,1.0,1.0,0.5210069136677894,0.2099415204678363
0.71,0.0,0.903952956550147,0.5388333333333334,0.09604704344985299,1.0,1.0,0.5150718541885735,0.17526080476900147
0.78,0.0,0.939562234563868,0.5206666666666667,0.06043776543613198,1.0,1.0,0.5054170249355117,0.11398644485520641
0.77,0.0,0.9372754001960144,0.5218333333333334,0.06272459980398562,1.0,1.0,0.5060261707988981,0.11804488164770979
0.73,0.0,0.9180006533812479,0.5316666666666666,0.08199934661875204,1.0,1.0,0.5112193424943469,0.15157004830917872
0.76,0.0,0.9327017314603071,0.5241666666666667,0.06729826853969291,1.0,1.0,0.5072488781498101,0.1261095806550352
0.74,0.0,0.9229010127409344,0.5291666666666667,0.07709898725906567,1.0,1.0,0.5098889659958362,0.14316044889293297
0.75,0.0,0.928781443972558,0.5261666666666667,0.07121855602744201,1.0,1.0,0.5083016257350398,0.1329673681000305
0.81,0.0,0.9519764782750735,0.5143333333333333,0.04802352172492649,1.0,1.0,0.502135656928071,0.09164588528678304
0.8,0.0,0.9474028095393662,0.5166666666666667,0.05259719046063378,1.0,1.0,0.5033396129474225,0.09993792675356922
